component_id,component_type,parameter_name,unit,lot_id,temperature_c,value_0h,value_24h,value_96h,value_168h
TEST-0001,Logic IC,Iddq,µA,LOT-05,122.5,9.9379,10.3165,10.1143,10.1455
TEST-0002,Logic IC,Iddq,µA,LOT-08,125.2,10.2213,10.6948,11.0345,11.8678
TEST-0003,Logic IC,Iddq,µA,LOT-08,123.0,10.4733,10.8134,11.2580,11.8568
TEST-0004,Logic IC,Iddq,µA,LOT-07,123.7,9.7810,10.1480,10.5160,11.2362
TEST-0005,Logic IC,Iddq,µA,LOT-15,123.9,9.8781,10.1924,10.8213,11.2990
TEST-0006,Logic IC,Iddq,µA,LOT-20,125.7,10.1243,10.3383,10.9449,11.4412
TEST-0007,Logic IC,Iddq,µA,LOT-19,122.5,10.1123,9.8744,9.7657,10.0422
TEST-0008,Logic IC,Iddq,µA,LOT-03,125.7,10.3608,10.7922,11.3799,11.5422
TEST-0009,Logic IC,Iddq,µA,LOT-NEW-B,127.0,9.7887,10.3079,10.5171,11.2646
TEST-0010,Logic IC,Iddq,µA,LOT-06,124.0,9.7003,10.1452,10.7326,10.9341
TEST-0011,Logic IC,Iddq,µA,LOT-08,122.0,10.0908,10.4002,10.3766,10.7237
TEST-0012,Logic IC,Iddq,µA,LOT-12,124.5,9.8311,9.8481,10.6599,10.9826
TEST-0013,Logic IC,Iddq,µA,LOT-18,122.9,9.8032,11.8132,18.2578,22.1232
TEST-0014,Logic IC,Iddq,µA,LOT-02,124.1,10.2587,12.4989,19.6726,22.0170
TEST-0015,Logic IC,Iddq,µA,LOT-12,122.8,9.7731,11.5032,17.7236,23.0788
TEST-0016,Logic IC,Iddq,µA,LOT-09,127.0,9.6198,12.3259,16.2523,26.8303
TEST-0017,Logic IC,Iddq,µA,LOT-10,124.9,10.4942,12.4771,16.2044,27.8317
TEST-0018,Logic IC,Iddq,µA,LOT-11,126.4,9.7745,12.4221,18.8541,24.1809
TEST-0019,Logic IC,Iddq,µA,LOT-16,124.5,9.9627,11.5897,16.3750,29.9485
TEST-0020,Logic IC,Iddq,µA,LOT-12,127.0,10.2287,11.7643,16.1898,26.4003
TEST-0021,Logic IC,Iddq,µA,LOT-16,123.1,10.1932,12.3407,19.3541,27.2846
TEST-0022,Logic IC,Iddq,µA,LOT-14,126.0,10.0547,12.4832,19.6574,29.6221
TEST-0023,Logic IC,Iddq,µA,LOT-05,127.2,10.3292,12.2556,18.0221,24.5265
TEST-0024,Logic IC,Iddq,µA,LOT-18,126.8,10.0288,12.9874,17.6742,24.2413
TEST-0025,Logic IC,Iddq,µA,LOT-07,122.3,10.1703,11.4067,20.8790,33.2058
TEST-0026,Logic IC,Iddq,µA,LOT-15,124.8,9.7600,11.0044,21.5151,24.3062
TEST-0027,Logic IC,Iddq,µA,LOT-06,125.8,9.6643,10.6646,17.0420,23.1858
TEST-0028,Logic IC,Iddq,µA,LOT-16,125.1,10.0253,11.3347,17.7307,29.2703
TEST-0029,Logic IC,Iddq,µA,LOT-03,124.6,9.6774,11.5021,19.3544,28.9093
TEST-0030,Logic IC,Iddq,µA,LOT-17,122.7,10.4261,10.6565,20.1955,24.0472
TEST-0031,Logic IC,Iddq,µA,LOT-03,125.5,9.8743,10.7833,18.4536,34.5449
TEST-0032,Logic IC,Iddq,µA,LOT-09,126.6,10.4851,10.5850,21.9713,35.0458
TEST-0033,Logic IC,Iddq,µA,LOT-14,124.5,10.2541,11.2671,18.6786,35.0458
TEST-0034,Logic IC,Iddq,µA,LOT-13,122.6,9.8287,11.6951,17.0905,34.6050
TEST-0035,Logic IC,Iddq,µA,LOT-02,124.2,10.1314,11.6065,21.5934,34.0208
TEST-0036,Logic IC,Iddq,µA,LOT-17,127.2,9.6494,10.6952,16.5099,23.1616
TEST-0037,Logic IC,Iddq,µA,LOT-09,127.1,10.4258,27.4917,15.6984,14.5541
TEST-0038,Logic IC,Iddq,µA,LOT-05,123.0,10.2688,26.9601,15.4485,13.3213
TEST-0039,Logic IC,Iddq,µA,LOT-10,122.2,9.8335,32.9645,14.6557,13.8900
TEST-0040,Logic IC,Iddq,µA,LOT-NEW-C,126.5,9.2390,34.0558,12.1812,12.7299
TEST-0041,Logic IC,Iddq,µA,LOT-16,126.9,9.4977,41.0227,13.0821,13.3124
TEST-0042,Logic IC,Iddq,µA,LOT-05,126.1,10.1650,32.6402,13.5144,12.4685
TEST-0043,Logic IC,Iddq,µA,LOT-06,122.2,10.3477,32.4418,14.1499,17.5132
TEST-0044,Logic IC,Iddq,µA,LOT-09,123.3,9.7767,32.9099,13.7044,15.1230
TEST-0045,Logic IC,Iddq,µA,LOT-10,126.3,10.0319,31.3972,12.4913,13.5684
TEST-0046,Logic IC,Iddq,µA,LOT-NEW-A,122.5,9.8431,28.1450,14.1813,15.9084
TEST-0047,Logic IC,Iddq,µA,LOT-05,126.0,9.7823,39.8478,13.2265,14.0984
TEST-0048,Logic IC,Iddq,µA,LOT-02,124.8,9.9864,39.1841,14.5962,16.1847
TEST-0049,Memory IC,Standby Current,µA,LOT-17,125.5,24.1680,23.9926,24.9011,24.9310
TEST-0050,Memory IC,Standby Current,µA,LOT-NEW-A,125.7,25.3170,25.9100,25.9884,26.3861
TEST-0051,Memory IC,Standby Current,µA,LOT-01,124.6,24.8163,25.4402,26.7112,27.7431
TEST-0052,Memory IC,Standby Current,µA,LOT-09,127.0,25.0802,26.2090,25.9325,26.6015
TEST-0053,Memory IC,Standby Current,µA,LOT-02,125.1,24.4678,24.2177,24.6563,26.0023
TEST-0054,Memory IC,Standby Current,µA,LOT-NEW-A,124.6,23.6648,24.0241,23.7274,24.2928
TEST-0055,Memory IC,Standby Current,µA,LOT-18,124.5,25.4334,27.3207,26.8325,27.8557
TEST-0056,Memory IC,Standby Current,µA,LOT-07,125.3,25.9996,25.6514,26.0814,26.2357
TEST-0057,Memory IC,Standby Current,µA,LOT-09,124.7,25.5907,25.3746,26.0220,26.4332
