component_id,component_type,parameter_name,lot_id,risk_level,risk_score,anomaly_flag,behavior_pattern,input_stage,predicted_168h,is_risky
CMP-000001,Logic IC,Iddq,LOT-04,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,13.077995145634931,True
CMP-000002,Memory IC,Standby Current,LOT-16,LOW,15.0,0,NORMAL,0h_24h_96h,25.928538379620697,False
CMP-000003,ADC,Leakage Current,LOT-04,LOW,0.0,0,NORMAL,0h_24h_96h,5.515358632023376,False
CMP-000004,Driver IC,Propagation Delay,LOT-17,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,37.7138658412851,True
CMP-000005,Logic IC,Iddq,LOT-18,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,31.328616261772495,True
CMP-000006,Memory IC,Standby Current,LOT-12,LOW,0.0,0,NORMAL,0h_24h_96h,25.87283400469978,False
CMP-000007,ADC,Leakage Current,LOT-07,LOW,0.0,0,NORMAL,0h_24h_96h,5.428189656162278,False
CMP-000008,Driver IC,Propagation Delay,LOT-04,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,37.73750248506697,True
CMP-000009,Logic IC,Iddq,LOT-06,LOW,0.0,0,NORMAL,0h_24h_96h,10.587079570238096,False
CMP-000010,Memory IC,Standby Current,LOT-16,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,73.59222201542165,True
CMP-000011,ADC,Leakage Current,LOT-04,LOW,15.0,0,NORMAL,0h_24h_96h,5.6789768720407645,False
CMP-000012,Driver IC,Propagation Delay,LOT-10,LOW,15.0,0,NORMAL,0h_24h_96h,17.884911340764578,False
CMP-000013,Logic IC,Iddq,LOT-20,LOW,0.0,0,NORMAL,0h_24h_96h,10.726472907539682,False
CMP-000014,Memory IC,Standby Current,LOT-07,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,65.98586163005166,True
CMP-000015,ADC,Leakage Current,LOT-20,LOW,0.0,0,NORMAL,0h_24h_96h,5.518147959862401,False
CMP-000016,Driver IC,Propagation Delay,LOT-07,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,40.115740446999126,True
CMP-000017,Logic IC,Iddq,LOT-08,LOW,0.0,0,NORMAL,0h_24h_96h,10.523972877513236,False
CMP-000018,Memory IC,Standby Current,LOT-06,MEDIUM,30.0,0,NORMAL,0h_24h_96h,25.81384164576055,True
