component_id,component_type,parameter_name,unit,lot_id,temperature_c,value_0h,value_24h,value_96h,value_168h
CMP-000001,Logic IC,Iddq,µA,LOT-04,124.77,10.0545,25.3431,10.9503,13.1385
CMP-000002,Memory IC,Standby Current,µA,LOT-16,123.78,24.418,24.9081,25.8294,26.2363
CMP-000003,ADC,Leakage Current,µA,LOT-04,124.0,5.0561,5.1858,5.3648,5.4956
CMP-000004,Driver IC,Propagation Delay,ns,LOT-17,122.81,18.1394,20.5982,26.0044,38.888
CMP-000005,Logic IC,Iddq,µA,LOT-18,125.88,9.6795,12.1467,18.5645,28.7672
CMP-000006,Memory IC,Standby Current,µA,LOT-12,125.75,24.6279,25.1627,25.4295,25.958
CMP-000007,ADC,Leakage Current,µA,LOT-07,123.21,4.995,5.1689,5.3051,5.4178
CMP-000008,Driver IC,Propagation Delay,ns,LOT-04,122.47,18.0908,19.1608,23.7279,39.7253
CMP-000009,Logic IC,Iddq,µA,LOT-06,124.69,9.7525,10.1339,10.3347,10.5757
CMP-000010,Memory IC,Standby Current,µA,LOT-16,124.21,24.0474,25.9226,42.4856,74.1774
CMP-000011,ADC,Leakage Current,µA,LOT-04,127.19,5.2927,5.3278,5.5511,5.6069
CMP-000012,Driver IC,Propagation Delay,ns,LOT-10,125.47,17.3125,17.3291,17.4719,18.2896
CMP-000013,Logic IC,Iddq,µA,LOT-20,124.79,9.7838,10.0639,10.4451,10.724
CMP-000014,Memory IC,Standby Current,µA,LOT-07,126.47,25.7216,29.493,41.0309,62.2092
CMP-000015,ADC,Leakage Current,µA,LOT-20,124.77,5.1064,5.2147,5.3277,5.5755
CMP-000016,Driver IC,Propagation Delay,ns,LOT-07,124.82,18.5805,19.9825,26.4357,44.3624
CMP-000017,Logic IC,Iddq,µA,LOT-08,127.48,9.7714,9.9248,10.1796,10.5442
CMP-000018,Memory IC,Standby Current,µA,LOT-06,124.75,24.7003,24.4864,25.5746,25.7923
CMP-000019,ADC,Leakage Current,µA,LOT-16,126.37,4.7194,5.6779,9.9267,18.4174
CMP-000020,Driver IC,Propagation Delay,ns,LOT-12,124.77,18.4032,31.5701,18.8272,20.696
CMP-000021,Logic IC,Iddq,µA,LOT-01,124.57,10.6571,22.6272,12.5308,12.9315
CMP-000022,Memory IC,Standby Current,µA,LOT-20,124.21,24.4709,27.8413,40.1441,65.724
CMP-000023,ADC,Leakage Current,µA,LOT-20,123.24,5.2136,5.3833,5.6051,5.8278
CMP-000024,Driver IC,Propagation Delay,ns,LOT-15,122.94,17.8434,18.211,18.4894,18.5519
CMP-000025,Logic IC,Iddq,µA,LOT-17,123.92,10.2982,11.0501,18.3147,33.6581
CMP-000026,Memory IC,Standby Current,µA,LOT-07,125.39,24.5806,27.2473,38.3948,75.4462
CMP-000027,ADC,Leakage Current,µA,LOT-13,124.62,4.9576,5.1362,5.3694,5.3514
CMP-000028,Driver IC,Propagation Delay,ns,LOT-13,127.59,17.2999,17.2209,17.6057,18.0657
CMP-000029,Logic IC,Iddq,µA,LOT-14,125.66,10.6269,11.0682,11.2752,11.7775
CMP-000030,Memory IC,Standby Current,µA,LOT-19,124.71,24.7662,28.0745,37.2054,64.5451
CMP-000031,ADC,Leakage Current,µA,LOT-04,123.95,5.3785,6.5912,11.3371,23.233
CMP-000032,Driver IC,Propagation Delay,ns,LOT-17,125.11,17.0558,17.4876,17.428,18.0081
CMP-000033,Logic IC,Iddq,µA,LOT-10,126.22,10.0682,11.1214,23.0581,45.0892
CMP-000034,Memory IC,Standby Current,µA,LOT-14,123.41,25.2082,43.6017,28.7668,32.2306
CMP-000035,ADC,Leakage Current,µA,LOT-14,125.83,5.4399,14.9327,6.4242,7.0263
